"model","vcov_type","term","estimate"
"model_sdm2sls_cons","model_default","(Intercept)",-627.654208930072
"model_sdm2sls_cons","model_default","W_consY",4.316021198068
"model_sdm2sls_cons","model_default","EMIE",16.1967815611505
"model_sdm2sls_cons","model_default","W_EMIE",-16.5239770833584
"model_sdm2sls_cons","model_default","npeople_0708",0.00013092486366684
"model_sdm2sls_cons","model_default","nhouses_0708",-0.000440089810273363
"model_sdm2sls_cons","model_default","consumption_0708",-0.112206693474273
"model_sdm2sls_cons","model_default","gini_cons_0708",-253.371865911102
"model_sdm2sls_cons","model_default","pct_urban",-3.34920398749609
"model_sdm2sls_cons","model_default","pct_head_secondary_plus",-1.31897592996423
"model_sdm2sls_cons","model_default","pct_muslim",0.490058739378827
"model_sdm2sls_cons","model_default","pct_st",0.0646159213055427
"model_sdm2sls_cons","model_default","pct_obc",1.93103695439171
"model_sdm2sls_cons","model_default","pct_fem_head",7.95153683622832
"model_sdm2sls_cons","model_default","pct_medium_land",2.37338045178836
"model_sdm2sls_cons","model_default","pct_large_land",-4.58145644990302
"model_sdm2sls_cons","model_default","W_npeople_0708",-9.97223831422984e-05
"model_sdm2sls_cons","model_default","W_nhouses_0708",0.000199337431875486
"model_sdm2sls_cons","model_default","W_consumption_0708",0.255955764754176
"model_sdm2sls_cons","model_default","W_gini_cons_0708",-396.296789151584
"model_sdm2sls_gini","model_default","(Intercept)",0.109955636731294
"model_sdm2sls_gini","model_default","W_giniY",-0.907529425130263
"model_sdm2sls_gini","model_default","EMIE",-0.00310634195526478
"model_sdm2sls_gini","model_default","W_EMIE",0.00238405647504065
"model_sdm2sls_gini","model_default","npeople_0708",1.42299149828252e-08
"model_sdm2sls_gini","model_default","nhouses_0708",-7.94705850683184e-08
"model_sdm2sls_gini","model_default","consumption_0708",-2.69837136380202e-05
"model_sdm2sls_gini","model_default","gini_cons_0708",-0.613230215498155
"model_sdm2sls_gini","model_default","pct_urban",0.00178694150644576
"model_sdm2sls_gini","model_default","pct_head_secondary_plus",0.00106669581499186
"model_sdm2sls_gini","model_default","pct_muslim",3.03795638535708e-05
"model_sdm2sls_gini","model_default","pct_st",0.0011092531299032
"model_sdm2sls_gini","model_default","pct_obc",-0.000376600266877849
"model_sdm2sls_gini","model_default","pct_fem_head",0.00384440694959962
"model_sdm2sls_gini","model_default","pct_medium_land",-0.00016279385519107
"model_sdm2sls_gini","model_default","pct_large_land",-0.000958857856796014
"model_sdm2sls_gini","model_default","W_npeople_0708",1.67065086774956e-08
"model_sdm2sls_gini","model_default","W_nhouses_0708",-1.14965780059396e-07
"model_sdm2sls_gini","model_default","W_consumption_0708",-7.90925409874741e-06
"model_sdm2sls_gini","model_default","W_gini_cons_0708",-0.217644551952683
