"str1","str2","pair_source"
"24-Parganas ( North )","North Twenty Four Parganas","legacy_troublesome_comment"
"Baleshwar","Balasore","legacy_troublesome_comment"
"East Godavari","Godavari East","legacy_troublesome_comment"
"Jammu & Kashmir","Jammu and Kashmir","legacy_troublesome_comment"
"Mumbai","Mumbai","legacy_troublesome_comment"
"North Twenty Four Pargan*","North Twenty Four Parganas","legacy_troublesome_comment"
"Sahibzada Ajit Singh Nag*","Sahibzada Ajit Singh Nagar","legacy_troublesome_comment"
"Sikim","Sikkim","legacy_troublesome_comment"
"Sri Potti Sriramulu Nell*","Sri Potti Sriramulu Nellore","legacy_troublesome_comment"
