"var1","var2","correlation","abs_correlation"
"SECTORRural","SECTORUrban",-1,1
"RELIGIONHindu","RELIGIONMuslim",-0.692449884981076,0.692449884981076
"RELIGIONChristian","state_0708Punjab",0.643962976297627,0.643962976297627
"RELIGIONJain","SOCIAL_GROUPScheduled Tribe",0.503686999682562,0.503686999682562
"RELIGIONHindu","RELIGIONJain",-0.480062208085166,0.480062208085166
"RELIGIONSikh","state_0708Arunachal Pradesh",0.436240465116191,0.436240465116191
"RELIGIONJain","state_0708Nagaland",0.418452541270751,0.418452541270751
"RELIGIONJain","state_0708Mizoram",0.418244402854174,0.418244402854174
"RELIGIONJain","state_0708Meghalaya",0.388595370895933,0.388595370895933
"SOCIAL_GROUPOther Backward Class","SOCIAL_GROUPScheduled Caste",-0.365125695740288,0.365125695740288
"SOCIAL_GROUPOther Backward Class","SOCIAL_GROUPScheduled Tribe",-0.319516518279027,0.319516518279027
"miss_UNIFORM","state_0708Bihar",0.31084828494805,0.31084828494805
"SOCIAL_GROUPScheduled Tribe","state_0708Mizoram",0.295407875837424,0.295407875837424
"SOCIAL_GROUPScheduled Tribe","state_0708Meghalaya",0.278833449395762,0.278833449395762
"SOCIAL_GROUPScheduled Tribe","state_0708Nagaland",0.277260062555034,0.277260062555034
"miss_TRANSPORT","AGE",-0.250880548055749,0.250880548055749
"RELIGIONHindu","SOCIAL_GROUPScheduled Tribe",-0.246399015955626,0.246399015955626
"RELIGIONChristian","RELIGIONHindu",-0.244665502645653,0.244665502645653
"miss_EXAMINATION_FEE","AGE",-0.215661560628372,0.215661560628372
"RELIGIONHindu","state_0708Mizoram",-0.2133846638528,0.2133846638528
"RELIGIONHindu","state_0708Meghalaya",-0.207589607579059,0.207589607579059
"RELIGIONHindu","state_0708Nagaland",-0.201568468572556,0.201568468572556
"HH_SIZE","state_0708Uttar Pradesh",0.198125393677342,0.198125393677342
"RELIGIONMuslim","state_0708Jammu & Kashmir",0.192449907198094,0.192449907198094
"miss_BOOKS","miss_STATIONERY",0.185485903162144,0.185485903162144
"SOCIAL_GROUPScheduled Tribe","state_0708Arunachal Pradesh",0.184514893276678,0.184514893276678
"SOCIAL_GROUPScheduled Caste","SOCIAL_GROUPScheduled Tribe",-0.182824341264665,0.182824341264665
"miss_EXAMINATION_FEE","miss_OTHER_FEES_PAYMENTS",0.179922777706756,0.179922777706756
"RELIGIONSikh","SOCIAL_GROUPScheduled Tribe",0.179620442101395,0.179620442101395
"RELIGIONJain","state_0708Manipur",0.175043471603811,0.175043471603811
"RELIGIONJain","SOCIAL_GROUPOther Backward Class",-0.174251376258384,0.174251376258384
"RELIGIONHindu","SOCIAL_GROUPScheduled Caste",0.173765549964062,0.173765549964062
"miss_OTHER_FEES_PAYMENTS","state_0708Andhra Pardesh",0.172218050658931,0.172218050658931
"RELIGIONMuslim","SOCIAL_GROUPScheduled Caste",-0.165348771638977,0.165348771638977
"SOCIAL_GROUPOther Backward Class","state_0708West Bengal",-0.163728227359894,0.163728227359894
"RELIGIONHindu","RELIGIONSikh",-0.16194347818466,0.16194347818466
"miss_TRANSPORT","state_0708Kerala",-0.161648136411699,0.161648136411699
"miss_EXAMINATION_FEE","state_0708Gujrat",0.156531437009975,0.156531437009975
"SOCIAL_GROUPOther Backward Class","state_0708Tamil Nadu",0.152167130591094,0.152167130591094
"miss_OTHER_FEES_PAYMENTS","miss_UNIFORM",0.147363257956902,0.147363257956902
"miss_EXAMINATION_FEE","state_0708Rajasthan",0.145970389043338,0.145970389043338
"SOCIAL_GROUPScheduled Tribe","state_0708Uttar Pradesh",-0.144463673035142,0.144463673035142
"miss_OTHER_FEES_PAYMENTS","state_0708Uttar Pradesh",-0.144254760979081,0.144254760979081
"RELIGIONHindu","SOCIAL_GROUPOther Backward Class",0.142576882618293,0.142576882618293
"miss_TRANSPORT","SECTORRural",0.14201173383907,0.14201173383907
"miss_TRANSPORT","SECTORUrban",-0.14201173383907,0.14201173383907
"SOCIAL_GROUPOther Backward Class","state_0708Bihar",0.139990142822419,0.139990142822419
"RELIGIONHindu","state_0708Arunachal Pradesh",-0.137026779585425,0.137026779585425
"RELIGIONHindu","state_0708Punjab",-0.133036763295133,0.133036763295133
"miss_EXAMINATION_FEE","state_0708Uttar Pradesh",-0.132500325790543,0.132500325790543
