"state_0708","region_0708","n","pct_any_na","miss_dmean_num_ENROLLMENT_COST","miss_DIST_FROM_NEAREST_PRIMARY_CLASS","miss_father_educ","is_urban","is_female","is_hindu","is_muslim","is_st_sc_obc","region_diagnostic_level"
"Chhattisgarh","Southern Chhattishgarh",441,28.8,23.36,0.45,8.16,23.13,51.47,96.83,2.27,92.29,"state_region"
"Sikkim","Sikkim",1409,7.59,0,0,7.59,14.19,52.87,63.02,1.49,85.17,"state_region"
"Lakshadweep","Lakshadweep",256,100,100,0,6.64,67.19,53.91,0.78,98.44,98.83,"state_region"
"Rajasthan","North-Eastern",2287,18.71,12.86,0,6.52,29.12,54.48,86.27,11.89,78.18,"state_region"
"Uttar Pradesh","Eastern",6952,6.49,0,0.16,6.36,22.38,53.74,80.51,19.3,83.14,"state_region"
"Himachal Pradesh","Trans Himalayan & Southern",922,13.77,7.7,0,6.29,20.61,55.42,87.74,4.88,43.49,"state_region"
"Chandigarh","Chandigarh",316,6.01,0,0,6.01,75.63,58.54,79.75,5.38,37.66,"state_region"
"Jammu & Kashmir","Jhelam Valley",1210,5.95,0,0,5.95,34.38,51.74,0.41,99.42,20.91,"state_region"
"Uttar Pradesh","Southern Upper Ganga Plains",3990,5.76,0,0,5.76,26.42,56.12,80.2,18.97,77.89,"state_region"
"Manipur","Plains",1493,10.05,0,4.49,5.63,42.73,55.26,74.82,14.53,83.66,"state_region"
"Punjab","Southern",1796,5.46,0,0,5.46,43.71,55.96,33.91,3.34,50.56,"state_region"
"Uttar Pradesh","Southern",937,5.44,0,0,5.44,32.66,49.73,90.5,9.18,82.28,"state_region"
"Madhya Pradesh","South",1211,5.37,0,0,5.37,30.88,53.26,91.74,7.02,91.58,"state_region"
"Bihar","Central",4376,27.1,22.21,0.18,5.3,22.23,54.68,90.68,9.1,84.35,"state_region"
"Uttar Pradesh","Northern Upper Ganga Plains",2832,5.3,0,0,5.3,29.98,53.53,54.98,44.24,78.88,"state_region"
"Rajasthan","South-Eastern",725,5.1,0,0,5.1,32.83,54.76,91.45,8.41,79.59,"state_region"
"Jharkhand","Hazaribagh Plateau",1850,43.46,40.65,0,4.97,23.73,53.41,81.03,15.41,86.43,"state_region"
"Delhi","Delhi",1310,18.63,14.27,0,4.96,88.4,56.49,79.62,15.8,47.56,"state_region"
"Gujrat","Kachchh",223,4.93,0,0,4.93,37.22,47.09,69.51,30.49,83.86,"state_region"
"Orissa","Northern",1520,4.87,0,0,4.87,21.97,50.53,96.78,1.18,88.82,"state_region"
