"term","estimate","std.error","statistic","p.value","conf.low","conf.high","method","status","reason"
"AGE",-0.0276741893236449,NA,NA,0,NA,NA,"analytic_probit_ame","estimated",NA
"SEXFemale",0.0392911096868554,NA,NA,2.01253358393706e-58,NA,NA,"analytic_probit_ame","estimated",NA
"HH_SIZE",-0.00822081261878036,NA,NA,4.68075111907268e-59,NA,NA,"analytic_probit_ame","estimated",NA
"RELIGIONMuslim",-0.167102971927365,NA,NA,0,NA,NA,"analytic_probit_ame","estimated",NA
"RELIGIONChristian",-0.0100484115766768,NA,NA,0.27530516663571,NA,NA,"analytic_probit_ame","estimated",NA
"RELIGIONSikh",0.0672522562869252,NA,NA,1.00806119372224e-06,NA,NA,"analytic_probit_ame","estimated",NA
"RELIGIONJain",0.0815339613338611,NA,NA,9.6110463299019e-46,NA,NA,"analytic_probit_ame","estimated",NA
"RELIGIONBuddhist",0.0627628309477799,NA,NA,8.78966358653752e-09,NA,NA,"analytic_probit_ame","estimated",NA
"RELIGIONZoroastrian",0.144450995581607,NA,NA,6.57444558922409e-07,NA,NA,"analytic_probit_ame","estimated",NA
"RELIGIONOther",0.277690702920595,NA,NA,0.725181379083294,NA,NA,"analytic_probit_ame","estimated",NA
"SOCIAL_GROUPScheduled Caste",-0.000704525008939451,NA,NA,0.892008693992287,NA,NA,"analytic_probit_ame","estimated",NA
"SOCIAL_GROUPOther Backward Class",0.0669240198316538,NA,NA,1.7924731778374e-47,NA,NA,"analytic_probit_ame","estimated",NA
"SOCIAL_GROUPOther",0.140627624942028,NA,NA,2.0082403499428e-196,NA,NA,"analytic_probit_ame","estimated",NA
"SECTORUrban",0.0772419964587115,NA,NA,2.94674519020907e-184,NA,NA,"analytic_probit_ame","estimated",NA
"DIST_FROM_NEAREST_PRIMARY_CLASS2",-0.00999761433856925,NA,NA,0.371278431430522,NA,NA,"analytic_probit_ame","estimated",NA
"DIST_FROM_NEAREST_PRIMARY_CLASS3",0.0139345585218016,NA,NA,0.0040768925251675,NA,NA,"analytic_probit_ame","estimated",NA
"DIST_FROM_NEAREST_PRIMARY_CLASS4",-0.0772668245591808,NA,NA,0.0265076419489007,NA,NA,"analytic_probit_ame","estimated",NA
"DIST_FROM_NEAREST_PRIMARY_CLASS5",0.0248360715791996,NA,NA,0.324503306806965,NA,NA,"analytic_probit_ame","estimated",NA
"dmean_num_IS_EDU_FREE",NA,NA,NA,NA,NA,NA,"analytic_probit_ame","estimated",NA
"dmean_num_RECD_TXT_BOOKS",-0.0283344636114884,NA,NA,8.79563561438082e-06,NA,NA,"analytic_probit_ame","estimated",NA
